"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags","Deal Badge","Discount %"
"B0DHD2736K",,"21040-PR","New Ware 3 Meter PVC Double Braided Auto Water Inlet Pipe for Top & Front Loading Washing Machine | Heavy Duty Water Hose for Fully Automatic Machines",,"Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","426","1799",,"4","6","77","Clicktech Retail Private Ltd",,"Ends in 21 hours 47 minutes...","76"
"B0DHD3KWB6",,"21010-PR","New Ware 1.25 Meter PVC Double Braided Auto Water Inlet Pipe for Top & Front Loading Washing Machines | Heavy Duty Water Hose Pipe",,"Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","283","569",,"4","6","74","Clicktech Retail Private Ltd",,"No deal found","50"
"B0DHD585TQ",,"21091",,,,,,,,,,,,,"0"
"B0DHD5JGVQ",,"21060",,,,,,,,,,,,,"0"
"B0DHD68XKK",,"21100-6-Meter","Unknown Product",,,,,,,,"25",,,"No deal found","0"
"B0DHD7P3X9",,"21100","New Ware 5 Meter PVC Water Drain Outlet Pipe for Semi & Fully Automatic Washing Machines | Flexible Outflow Drain Hose Extension for Laundry Area",,"Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","429","1599",,"4.2","37","75","KIDLEN INDIA LLP",,"No deal found","73"
"B0DHD853BT",,"21080","New Ware 2 Meter PVC Washing Machine Drain Outlet Pipe | Flexible Outflow Hose for Semi & Fully Automatic Machines",,"Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","251","499",,"4.2","37","76","Clicktech Retail Private Ltd",,"No deal found","50"
"B0DHD94N8Q",,"21070",,,,,,,,,,,,,"0"
"B0DHP76FLZ",,"92130-PR",,,,,,,,,,,,,"0"
"B0DHPF5MBW",,"92080-PR",,,,,,,,,,,,,"0"
"B0DHV3Z3FK",,"92040-PRB","New Ware® CP Brass Long Body Bib Cock Single Lever Tap for Kitchen Sink & Wash Basin| Wall Mount Tap Spout for Bathroom & Toilet| Tap for Home & Kitchen| Hot & Cold Sink Tap Spout with Wall Flange",,"Home Improvement › Kitchen & Bath Fixtures › Kitchen Fixtures › Kitchen Taps › Kitchen Sink Taps › Touch On Kitchen Sink Faucets","1099","2198",,,,"83","Clicktech Retail Private Ltd",,"No deal found","50"
"B0DHXNGNX8",,"11861-PRB",,,,,,,,,,,,,"0"
"B0DK5GYHZD",,"21720-PR","New Ware® 9.6 Inch Spin Cap for Videocon Semi Automatic Washing Machine | Durable Dryer Safety Cover & Spinner Lid Replacement",,"Home & Kitchen › Large Appliances › Parts & Accessories › Appliance Slipcovers › Washing Machine Covers","251","499",,"5","3","85","Clicktech Retail Private Ltd",,"No deal found","50"
"B0DK5HST8N",,"21710-PR",,,,,,,,,,,,,"0"
"B0DKFV1DP6",,"21560-PR",,,,,,,,,,,,,"0"
"B0DKJD13RS",,"21580-PR",,,,,,,,,,,,,"0"
"B0DKNYBC8X",,"21510-PACK-OF-1",,,,,,,,,,,,,"0"
"B0DKP4TTRL",,"21590-PACK-OF-1",,,,,,,,,,,,,"0"
"B0DKP95CS8",,"21590-PACK-OF-2",,,,,,,,,,,,,"0"
"B0DL5ZPZHZ",,"19545-PR",,,,,,,,,,,,,"0"
"B0DLWL3VR3",,"21130-PR",,,,,,,,,,,,,"0"
"B0DLWLC49Q",,"21151",,,,,,,,,,,,,"0"
"B0DLWMKBT5",,"21153",,,,,,,,,,,,,"0"
"B0DM67HZ73",,"19260-PR","Unknown Product",,,,,,,,"25",,,"No deal found","0"
"B0DM682QJ5",,"19240-PR",,,,,,,,,,,,,"0"
"B0DM68NX2G",,"19250-PR","Unknown Product",,,,,,,,"25",,,"No deal found","0"
"B0DN6BKRD5",,"19530-PR",,,,,,,,,,,,,"0"
"B0DN6M2BBD",,"19550-PR",,,,,,,,,,,,,"0"
"B0DPK87W6D",,"17361-2 PC",,,,,,,,,,,,,"0"
"B0DPKYWLTD",,"23800-P-5",,,,,,,,,,,,,"0"
"B0DSFYV9DS",,"27406",,,,,,,,,,,,,"0"
"B0DV3NYGJN",,"21571-Pack-of-8",,,,,,,,,,,,,"0"
"B0DV3P8R1Y",,"21571-Pack-of-5",,,,,,,,,,,,,"0"
"B0DV3QS6V5",,"21571-Pack-of-2",,,,,,,,,,,,,"0"
"B0DVL6ZFX2",,"16911-2-PCS",,,,,,,,,,,,,"0"
