asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0DFMLD5PV,"""None""","""2026-05-29""",3326.67,659.34,141,37300,7,0.049645,0.1982,5.05,0.0038,4.68,7,855.24,2,,,,,1282.86,51.4,3,0,0,223,259.32,,475.238571,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-30""",3013.34,738.3,162,35466,7,0.04321,0.245,4.08,0.0046,4.56,7,2138.1,5,,,,,1282.86,57.55,3,0,0,244,234.89,,430.477143,0,,0,0
B0DFMKZ5R2,"""None""","""2026-05-28""",3211.44,312.99,68,10627,7,0.102941,0.0975,10.26,0.0064,4.6,7,1790.48,4,,,,,895.24,34.96,2,0,0,134,358.72,,458.777143,0,,0,0
B0DFMKZ5R2,"""None""","""2026-05-31""",3133.34,263.82,58,12923,7,0.12069,0.0842,11.88,0.0045,4.55,7,1790.48,4,,,,,1790.48,14.73,4,0,0,126,175.0,,447.62,0,,0,0
B0DFMLKWMY,"""None""","""2026-05-25""",2756.19,239.33,52,18445,6,0.115385,0.0868,11.52,0.0028,4.6,6,1421.91,3,,,,,474.29,50.46,1,0,0,94,581.12,,459.365,0,,0,0
B0D94WT8L6,"""None""","""2026-05-21""",2850.49,333.48,84,16695,6,0.071429,0.117,8.55,0.005,3.97,6,0,0,,,,,1422.87,23.44,3,0,0,144,200.33,,475.081667,0,,0,0
B0D94WT8L6,"""None""","""2026-05-24""",2845.73,443.34,114,17798,6,0.052632,0.1558,6.42,0.0064,3.89,6,2371.44,5,,,,,2845.73,15.58,6,0,0,183,100.0,,474.288333,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-16""",2839.07,266.9,56,16085,6,0.107143,0.094,10.64,0.0035,4.77,6,475.24,1,,,,,475.24,56.16,1,0,0,101,597.4,,473.178333,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-26""",2834.28,873.09,187,31422,6,0.032086,0.308,3.25,0.006,4.67,6,1889.52,4,,,,,944.76,92.41,2,0,0,233,300.0,,472.38,0,,0,0
B0DCKB5VVF,"""None""","""2026-05-21""",2846.69,188.58,34,6319,6,0.176471,0.0662,15.1,0.0054,5.55,6,1422.87,3,,,,,0.0,,0,0,0,77,,,474.448333,0,,0,0
B0BFLQPV8S,"""None""","""2026-05-01""",2919.06,96.08,40,5212,6,0.15,0.0329,30.38,0.0077,2.4,6,842.86,1,,,,,0,,0,0,0,56,,,486.51,0,,0,0
B0DF7FZ46V,"""None""","""2026-05-24""",2371.45,338.89,74,14751,5,0.067568,0.1429,7.0,0.005,4.58,5,1897.16,4,,,,,0.0,,0,0,0,108,,,474.29,0,,0,0
B0D94XFQPP,"""None""","""2026-05-21""",1746.58,141.25,39,4687,5,0.128205,0.0809,12.37,0.0083,3.62,5,474.29,1,,,,,0,,0,0,0,61,,,349.316,0,,0,0
B0D94X94CM,"""None""","""2026-05-30""",2238.1,114.73,26,5133,5,0.192308,0.0513,19.51,0.0051,4.41,5,0,0,,,,,447.62,25.63,1,0,0,50,500.0,,447.62,0,,0,0
B0DFMMFVZM,"""None""","""2026-05-28""",2313.34,234.44,73,24882,5,0.068493,0.1013,9.87,0.0029,3.21,5,1790.48,4,,,,,1342.86,17.46,3,0,0,129,172.27,,462.668,0,,0,0
B0D94WT8L6,"""None""","""2026-05-02""",1885.72,322.66,102,16114,5,0.04902,0.1711,5.84,0.0063,3.16,5,471.43,1,,,,,471.43,68.44,1,0,0,183,400.0,,377.144,0,,0,0
B0D94WT8L6,"""None""","""2026-05-30""",2265.72,250.1,62,12291,5,0.080645,0.1104,9.06,0.005,4.03,5,1342.86,3,,,,,1790.48,13.97,4,0,0,133,126.54,,453.144,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-14""",2109.52,84.27,26,2968,5,0.192308,0.0399,25.03,0.0088,3.24,5,817.14,2,,,,,408.57,20.63,1,0,0,70,516.32,,421.904,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-28""",2138.1,632.15,135,37974,5,0.037037,0.2957,3.38,0.0036,4.68,5,1710.48,4,,,,,855.24,73.91,2,0,0,196,250.0,,427.62,0,,0,0
B0D94ZK7TD,"""None""","""2026-05-01""",2888.57,219.45,72,5236,5,0.069444,0.076,13.16,0.0138,3.05,5,0,0,,,,,0,,0,0,0,102,,,577.714,0,,0,0
