asin,sku,date,sales,spend,clicks,impressions,orders,conversion_rate,acos,roas,ctr,cpc,conversions,same_sku_sales,same_sku_orders,daily_budget,total_budget,max_spend,avg_spend,total_sales,total_acos,total_units,organic_sales,organic_orders,page_views,ad_sales_perc,tos_is,aov,sessions,buy_box_percentage,browser_sessions,mobile_app_sessions
B0CW3RMFWZ,"""None""","""2026-03-23""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-24""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-25""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-26""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-27""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-28""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-29""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-01""",0,0,0,61,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-02""",0,0,0,6,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-03""",0,0,0,7,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-04""",0,0,0,3,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-05""",0,0,0,3,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-06""",0,0,0,2,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-07""",0,0,0,7,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-08""",0,0,0,5,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-09""",0,0,0,2,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-11""",0,0,0,1,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-12""",0,0,0,1,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-14""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-15""",0,0,0,2,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-17""",0,0,0,9,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-19""",0,0,0,1,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVL82HY,"""None""","""2026-03-24""",0,0,0,4,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-01""",0,0,0,334,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-02""",0,9.23,2,376,0,0,,0,0.0053,4.62,0,0,0,,,,,0,,0,0,0,3,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-03""",0,8.88,2,438,0,0,,0,0.0046,4.44,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-04""",0,4.96,1,246,0,0,,0,0.0041,4.96,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-05""",0,0,0,86,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-06""",0,0,0,232,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-07""",0,0,0,10,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-08""",0,6.06,1,74,0,0,,0,0.0135,6.06,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-09""",0,0,0,18,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,3,,,,0,,0,0
