asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0G4RJDP4L,"""None""","""2026-05-26""",0,43.26,6,4414,0,0.0,,0.0,0.0014,7.21,0,0,0,,,,,0,,0,0,0,5,,,,0,,0,0
B0G4RJDP4L,"""None""","""2026-05-27""",0,49.26,6,5061,0,0.0,,0.0,0.0012,8.21,0,0,0,,,,,0,,0,0,0,7,,,,0,,0,0
B0G4RJDP4L,"""None""","""2026-05-28""",0,0,0,13,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G4RJDP4L,"""None""","""2026-05-30""",0,10.61,1,95,0,0.0,,0.0,0.0105,10.61,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0G4RJDP4L,"""None""","""2026-05-31""",0,0,0,170,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GBX4SX5Q,"""None""","""2026-05-22""",0,0,0,2,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GBX4SX5Q,"""None""","""2026-05-23""",0,0,0,18,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GBX4SX5Q,"""None""","""2026-05-24""",0,0,0,9,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GBX4SX5Q,"""None""","""2026-05-25""",0,0,0,53,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GBX4SX5Q,"""None""","""2026-05-26""",0,0,0,94,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GBX4SX5Q,"""None""","""2026-05-27""",0,0,0,151,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GBX4SX5Q,"""None""","""2026-05-28""",0,0,0,57,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GBX4SX5Q,"""None""","""2026-05-31""",0,0,0,3,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-22""",0,0,0,1,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-23""",0,6.39,1,15,0,0.0,,0.0,0.0667,6.39,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-24""",0,0,0,15,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-25""",0,0,0,222,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-26""",0,0,0,26,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-27""",0,0,0,24,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-28""",0,0,0,5,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-30""",0,0,0,1,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GMWKVBYL,"""None""","""2026-05-31""",0,0,0,6,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-22""",0,0,0,6,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-23""",0,0,0,4,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-24""",0,0,0,12,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-25""",0,0,0,48,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-26""",0,0,0,79,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-27""",0,0,0,57,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-28""",0,0,0,15,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-30""",0,0,0,23,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G65V1S8Q,"""None""","""2026-05-31""",0,21.74,2,154,0,0.0,,0.0,0.013,10.87,0,0,0,,,,,0,,0,0,0,3,,,,0,,0,0
